"tipo_genotipo","n_observacoes","n_genotipos","media_GY","sd_GY","cv_GY","media_W100G","sd_W100G","media_PH"
"Privado",256,21,2523.29358870968,904.759049800316,35.8562734771968,18,4.68336249905137,64.1695294117647
"Público",959,62,2334.05826411076,870.369003850812,37.2899433246329,18.6673306772908,4.89723622066703,56.9764383561644
